connection_date,user_id,start_hour,start_minute,end_hour,end_minute
20171028,24635,13,18,13,25
20171028,28403,8,3,8,38
20171028,28723,11,13,11,17
20171028,29071,5,47,6,5
20171028,29431,11,10,11,33
20171028,30726,12,27,12,36
20171028,31798,9,7,9,17
20171028,33685,7,55,7,59
20171028,33845,12,2,12,3
20171028,34040,12,51,13,5
20171028,39006,7,43,8,2
20171028,39869,14,42,14,46
20171028,40351,16,10,16,11
20171028,40351,16,43,17,4
20171028,41733,10,51,11,4
20171028,44785,7,44,7,54
20171028,45882,17,16,17,27
20171028,47090,8,19,9,28
20171028,47095,10,8,10,19
20171028,47915,8,43,8,46
20171028,50423,19,24,19,29
20171028,54820,7,28,7,31
20171028,54951,8,32,9,9
20171028,55153,10,23,10,32
20171028,55320,8,40,8,57
20171028,57778,13,25,14,7
20171028,58474,6,56,7,20
20171028,59907,4,1,4,38
20171028,61588,22,24,22,29
20171028,62691,17,52,18,14
20171028,63278,9,25,9,47
20171028,64669,9,12,9,18
20171028,65007,12,22,12,39
20171028,68485,10,21,10,28
20171028,70625,17,43,17,58
20171028,71174,10,44,11,14
20171028,71356,9,54,10,20
20171028,71952,8,53,9,22
20171028,72788,8,0,8,7
20171028,73284,15,47,15,58
20171028,74400,13,37,13,41
20171028,75372,18,3,19,1
20171028,75756,10,44,10,51
20171028,76777,14,18,14,20
20171028,77156,8,29,8,59
20171028,77556,5,24,5,37
20171028,77682,15,30,15,47
20171028,77713,15,45,16,29
20171028,77818,17,31,18,2
20171028,77883,8,6,8,34
20171028,80443,13,29,13,47
20171028,81615,12,3,12,11
20171028,82557,7,55,8,21
20171028,82741,9,15,9,24
20171028,83105,4,58,5,0
20171028,83620,0,47,1,14
20171028,84083,15,39,15,51
20171028,86884,15,25,15,34
20171028,88347,17,7,17,22
20171028,88882,6,37,7,3
20171028,89410,12,55,13,2
20171028,88882,7,1,7,7
20171028,89858,17,22,17,25
20171028,90028,13,55,13,59
20171028,91063,8,37,9,0
20171028,91818,10,17,10,59
20171028,93316,10,19,10,33
20171028,94216,14,26,14,43
20171028,94308,14,37,14,53
20171028,94895,14,41,14,45
20171028,95460,0,13,0,28
20171028,95882,19,19,19,24
20171028,97079,18,51,18,56
20171028,97493,7,29,7,34
20171028,97945,10,31,10,48
20171028,98253,13,11,13,47
20171028,98531,16,46,16,59
20171028,98605,10,45,10,52
20171028,98642,1,50,1,52
20171028,98671,23,45,23,52
20171028,98830,10,12,10,23
20171028,99377,8,20,8,24
20171028,99632,6,59,7,30
